,id,tweet,class
0,6004314210,Swine Flu has arrived at my daughter's kindergarten. 2 cases. & I think I'm getting her eye infection. Next few weeks will be fun. =(,0
1,6003319713,Getting a little fed up with having (Insert Random Animal) flu. Most depressing.,1
2,6002055513,,1
3,5994839708,,0
4,5991525204,Just getting over swine flu.  It must have been the roast pork I ate the other Sunday!,1
5,5989718714,this flu season is a horrible. everyone is getting sick. makes you dislike winter that much more. winter is not fun when one has a cold.,0
6,5986621813,so glad @blakewsmith won't be getting the pig flu this season...guess I am on my own,0
7,5986140306,@saracrow Luck luck. I got mine Friday.  My arm wasn't as sore as years past.  Either I'm getting stronger or the flu is getting weaker.,1
8,5985930706,,0
9,5985417606,"At home. I think I have the stomach flu or something. I woke up, started getting ready for school, and then unfortunately..well you know..",1
10,5984946706,The swine flu is the only thing Calipari is worried about in Cancun - http://tinyurl.com/yereux6 #kentuckywildcats,0
11,5932814112,My stomach isn't feeling really good today and i'm gonna be busy at church later playing lasertag. I think i'm getting gastric flu. Boos~ =(,1
12,5932278302,"i think ive just about gotten over this flu, but still taking it easy tonight getting my c-span on",1
13,4631607800,@Robbsterr yay for man txting you.. in other news i am getting checked for the piggie flu oink oink,1
14,5931350914,,1
15,5930919704,,1
16,5236059601,Swine flu concern for Donny http://bit.ly/2MiURn,0
17,4327686009,@drspectrum: I hope you're not getting the flu!  You need to get lots of rest tonight.,0
18,5235612004,Working through second kiddo with the flu. Yea!  We all got our flu shots. Should we worry about getting the H1N1 shot?!?!,0
19,5235592906,,0
20,5929960907,in bed with cramps :( coughing and sneezing im getting the flu for sure URGHHH just my luck!!,1
21,5235515212,,0
22,5235451302,,1
23,5235366113,"Hopefully getting the seasonal flu shot today if it hasn't run out this time, then rehearsal with Big East as the Who for Halloween.",1
24,5926793900,RT @DEEJAYKINGMIDAS: I DONT KNOW  IS WHICH ONE SWINE FLU OR BIRD FLU BUT MI FEEL FUCK UP =))))))))))) lol,1
25,5926297601,"don't worry it's not swine flu, i already got the shot against it like 3 weeks ago.",1
26,5926133800,,1
27,5924934513,apparently little kid and big little kid are getting the flu - again. Just in time for us to be packing to move. Good thing DH has week off,0
28,5234893211,,1
29,5234644406,,1
30,5234564007,"Trying to decide whether or not to get the H1N1 flu vaccine today....Worried it might make me sick, worried I might get sick without it.",1
31,5924720010,,1
32,5924620503,Oh yay! Getting chippy food for dinner. I'm getting a pizza supper. Maybe the grease will eat my flu bug ^_^,1
33,5923839812,Just returned from the Doctors. They clearly were thinking I had swine flu.. I actually have bronchitis.,0
34,5922861314,It was a Robitussin Nighttime Cold & Flu kind of night. I think I may be getting a cold. Tell my nose breathing isn't optional. Poo...,1
35,5234253313,"@Stephypbaybe how that sucks, how u dnt have the flu, its getting around fast right now. hope it goes well for u :)",0
36,5234220406,The Hosp. called Elijah has the swine flu. omg Now I&#39;m so scared,0
37,5234183214,"@Jah423 I blame marissa lol. Pple getting the flu after just being around her. Aaron automatically got sick,juanita with her flu,me with my",0
38,5233811803,"RT @AdamWSYX6: Getting my seasonal flu shot today, first one ever. And going in early for H1N1 clinic story.  Expect lines.",1
39,5233654812,"what is up with my boy?  This morning I thought he had the flu, now at 1pm he wants breakfast!  Thinking we'll start with some toast for now",0
40,5922229214,so yeah.. myheads killin me:/ and I think im getting the flu...hope it isn't the swine flu :x,1
41,5233273713,"thank you everyone who responded to the poll! apparently, the majority is not planning on getting the H1N1 flu shot.",0
42,5233242113,,1
43,5919428800,,0
44,3872941402,jesus christ all the EGM/1Up people are getting swine flu D; Worst day ever.,0
45,5919114203,,1
46,5918860304,"Getting better,no more piggy flu 4 me,It was nasty, dont wish it on anyone.Ppl wash ur hands and use the hand sanitizer,TRUST ME",1
47,5917741509,,1
48,5232710114,kids are slowly getting better...not a severe case of the flu thank goodness!,0
49,5232589606,,0
50,5232314908,Sore throat and a runny nose... think I'm getting sick! This isn't supposed to happen when I get the flu shot!,1
51,5232303609,,0
52,5916662502,My flu is NOT going away!!!!! Its NOT even getting any better!!! I feel awful :(,1
53,5916059500,I have a cold and a fever and swine flu is getting a little too close to home for my liking.,1
54,5915722210,"Meanwhile, I sat home alone worried and still trying to recover from my bout with the flu. fml",1
55,5232131711,,1
56,5915242910,Getting over the shortest bout of flu ever,1
57,5231304213,@sarahshum Ugh. I'm getting a flu shot (hopefully) in about half an hour. :( Sorry yours is being ugly!,1
58,5231189007,,1
59,5231031604,,0
60,4317760800,"Recovering from possible flu - I'm so behind the times, it was probably Bird Flu.",0
61,5912340611,"@MarisaMir Chemo day, plus getting fitted for radiation masks now, ugh. I have been pretty sick though lately with flu and fevers too. Yuck!",1
62,5911875907,,1
63,4041277305,,0
64,5230809807,,1
65,5230535210,,0
66,5229999007,,1
67,5911047311,,1
68,5909190502,I hope this isn't the pig flu. Two and half days in bed and still no real signs of truely getting better :(,1
69,5908424206,"is down with a cold. To be clear, I was already feeling sick before getting the H1N1 and seasonal flu shots.",1
70,5908210907,"@Indianadelae last time I felt like I was getting the flu, I felt bad for a day, then woke up fine the next.  Hoping that happens again!!!",1
71,5229704707,"H1N1 flu is RAMPANT in Nagasaki. Holy crap. 70 kids at friend's school got it. I'm legit worried, esp since I got a fever/throat probs...",0
72,5229089211,,0
73,5228640700,,1
74,5227919214,My throat has that horrible half sore feeling like when you're getting sick. NO FLU!!,1
75,5227703600,,1
76,5905662005,@chrispirillo bird flu I guess,0
77,5905384802,,0
78,5903014014,,1
79,5227008206,,1
80,5226771113,,1
81,5901898512,,1
82,5900723108,,0
83,5900297914,"@SiHawkings You like Christmas then? I'll send positive energy your way :) It seems like I'm finally getting rid of flu and bronchitis, YAY!",0
84,5899631809,,0
85,5226330211,,0
86,5225053106,I think Im getting flu soon.,1
87,5224737412,,1
88,5895328201,,1
